yourlist:M201910296746803381A1F0E0DB47453E0216320D0928A52	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
10916	Q9UNF1	MAGD2_HUMAN	reviewed	Melanoma-associated antigen D2 (11B6) (Breast cancer-associated gene 1 protein) (BCG-1) (Hepatocellular carcinoma-associated protein JCL-1) (MAGE-D2 antigen)	MAGED2 BCG1	Homo sapiens (Human)	606
11019	O43766	LIAS_HUMAN	reviewed	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	LIAS LAS HUSSY-01	Homo sapiens (Human)	372
11041	O43505	B4GA1_HUMAN	reviewed	Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1 B3GNT1 B3GNT6	Homo sapiens (Human)	415
1120	Q9Y259	CHKB_HUMAN	reviewed	Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB)	CHKB CHETK CHKL	Homo sapiens (Human)	395
11232	Q9UHN1	DPOG2_HUMAN	reviewed	DNA polymerase subunit gamma-2, mitochondrial (DNA polymerase gamma accessory 55 kDa subunit) (p55) (Mitochondrial DNA polymerase accessory subunit) (MtPolB) (PolG-beta)	POLG2 MTPOLB	Homo sapiens (Human)	485
11253	Q9UKM7	MA1B1_HUMAN	reviewed	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)	MAN1B1 UNQ747/PRO1477	Homo sapiens (Human)	699
113189	Q8NCH0	CHSTE_HUMAN	reviewed	Carbohydrate sulfotransferase 14 (EC 2.8.2.35) (Dermatan 4-sulfotransferase 1) (D4ST-1) (hD4ST1)	CHST14 D4ST1 UNQ1925/PRO4400	Homo sapiens (Human)	376
116519	Q6Q788	APOA5_HUMAN	reviewed	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)	APOA5 RAP3 UNQ411/PRO773	Homo sapiens (Human)	366
1175	P53680	AP2S1_HUMAN	reviewed	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	AP2S1 AP17 CLAPS2	Homo sapiens (Human)	142
1188	P51801	CLCKB_HUMAN	reviewed	Chloride channel protein ClC-Kb (Chloride channel Kb) (ClC-K2)	CLCNKB	Homo sapiens (Human)	687
1200	O14773	TPP1_HUMAN	reviewed	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563
1201	Q13286	CLN3_HUMAN	reviewed	Battenin (Batten disease protein) (Protein CLN3)	CLN3 BTS	Homo sapiens (Human)	438
1244	Q92887	MRP2_HUMAN	reviewed	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2) (EC 7.6.2.2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	1545
131118	Q96DA6	TIM14_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 19)	DNAJC19 TIM14 TIMM14	Homo sapiens (Human)	116
132158	Q8IVS8	GLCTK_HUMAN	reviewed	Glycerate kinase (EC 2.7.1.31) (HBeAg-binding protein 4)	GLYCTK HBEBP4 LP5910	Homo sapiens (Human)	523
1356	P00450	CERU_HUMAN	reviewed	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	CP	Homo sapiens (Human)	1065
1373	P31327	CPSM_HUMAN	reviewed	Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	CPS1	Homo sapiens (Human)	1500
1374	P50416	CPT1A_HUMAN	reviewed	Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)	CPT1A CPT1	Homo sapiens (Human)	773
1375	Q92523	CPT1B_HUMAN	reviewed	Carnitine O-palmitoyltransferase 1, muscle isoform (CPT1-M) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, muscle isoform) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein)	CPT1B KIAA1670	Homo sapiens (Human)	772
1384	P43155	CACP_HUMAN	reviewed	Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)	CRAT CAT1	Homo sapiens (Human)	626
146059	Q8IWY9	CDAN1_HUMAN	reviewed	Codanin-1	CDAN1 UNQ664/PRO1295	Homo sapiens (Human)	1227
148738	Q6ZVN8	RGMC_HUMAN	reviewed	Hemojuvelin (Hemochromatosis type 2 protein) (Hemojuvelin BMP coreceptor) (RGM domain family member C)	HJV HFE2 RGMC	Homo sapiens (Human)	426
148789	Q8NCR0	B3GL2_HUMAN	reviewed	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)	B3GALNT2	Homo sapiens (Human)	500
1491	P32929	CGL_HUMAN	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)	CTH	Homo sapiens (Human)	405
1497	O60931	CTNS_HUMAN	reviewed	Cystinosin	CTNS	Homo sapiens (Human)	367
153201	Q495M3	S36A2_HUMAN	reviewed	Proton-coupled amino acid transporter 2 (Proton/amino acid transporter 2) (Solute carrier family 36 member 2) (Tramdorin-1)	SLC36A2 PAT2 TRAMD1	Homo sapiens (Human)	483
1586	P05093	CP17A_HUMAN	reviewed	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)	CYP17A1 CYP17 S17AH	Homo sapiens (Human)	508
1593	Q02318	CP27A_HUMAN	reviewed	Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)	CYP27A1 CYP27	Homo sapiens (Human)	531
1605	Q14118	DAG1_HUMAN	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Homo sapiens (Human)	895
1621	P09172	DOPO_HUMAN	reviewed	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH	Homo sapiens (Human)	617
1629	P11182	ODB2_HUMAN	reviewed	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial (EC 2.3.1.168) (52 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Branched chain 2-oxo-acid dehydrogenase complex component E2) (BCOADC-E2) (Branched-chain alpha-keto acid dehydrogenase complex component E2) (BCKAD-E2) (BCKADE2) (Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex) (Dihydrolipoamide branched chain transacylase) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)	DBT BCATE2	Homo sapiens (Human)	482
1644	P20711	DDC_HUMAN	reviewed	Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)	DDC AADC	Homo sapiens (Human)	480
1716	Q16854	DGUOK_HUMAN	reviewed	Deoxyguanosine kinase, mitochondrial (dGK) (EC 2.7.1.113)	DGUOK DGK	Homo sapiens (Human)	277
1718	Q15392	DHC24_HUMAN	reviewed	Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)	DHCR24 KIAA0018	Homo sapiens (Human)	516
1719	P00374	DYR_HUMAN	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	DHFR	Homo sapiens (Human)	187
1738	P09622	DLDH_HUMAN	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)	DLD GCSL LAD PHE3	Homo sapiens (Human)	509
175	P20933	ASPG_HUMAN	reviewed	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	AGA	Homo sapiens (Human)	346
1763	P51530	DNA2_HUMAN	reviewed	DNA replication ATP-dependent helicase/nuclease DNA2 (hDNA2) (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)]	DNA2 DNA2L KIAA0083	Homo sapiens (Human)	1060
178	P35573	GDE_HUMAN	reviewed	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	AGL GDE	Homo sapiens (Human)	1532
18	P80404	GABT_HUMAN	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Homo sapiens (Human)	500
1806	Q12882	DPYD_HUMAN	reviewed	Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	DPYD	Homo sapiens (Human)	1025
1807	Q14117	DPYS_HUMAN	reviewed	Dihydropyrimidinase (DHP) (DHPase) (EC 3.5.2.2) (Dihydropyrimidine amidohydrolase) (Hydantoinase)	DPYS	Homo sapiens (Human)	519
1822	P54259	ATN1_HUMAN	reviewed	Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein)	ATN1 D12S755E DRPLA	Homo sapiens (Human)	1190
1893	Q16610	ECM1_HUMAN	reviewed	Extracellular matrix protein 1 (Secretory component p85)	ECM1	Homo sapiens (Human)	540
19	O95477	ABCA1_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
2027	P13929	ENOB_HUMAN	reviewed	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase)	ENO3	Homo sapiens (Human)	434
203859	Q75V66	ANO5_HUMAN	reviewed	Anoctamin-5 (Gnathodiaphyseal dysplasia 1 protein) (Transmembrane protein 16E)	ANO5 GDD1 TMEM16E	Homo sapiens (Human)	913
2108	P13804	ETFA_HUMAN	reviewed	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	ETFA	Homo sapiens (Human)	333
2109	P38117	ETFB_HUMAN	reviewed	Electron transfer flavoprotein subunit beta (Beta-ETF)	ETFB FP585	Homo sapiens (Human)	255
2110	Q16134	ETFD_HUMAN	reviewed	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)	ETFDH	Homo sapiens (Human)	617
215	P33897	ABCD1_HUMAN	reviewed	ATP-binding cassette sub-family D member 1 (EC 7.6.2.4) (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	Homo sapiens (Human)	745
2203	P09467	F16P1_HUMAN	reviewed	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)	FBP1 FBP	Homo sapiens (Human)	338
2218	O75072	FKTN_HUMAN	reviewed	Fukutin (EC 2.4.2.-) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase)	FKTN FCMD	Homo sapiens (Human)	461
2235	P22830	HEMH_HUMAN	reviewed	Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	FECH	Homo sapiens (Human)	423
226	P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
2271	P07954	FUMH_HUMAN	reviewed	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	FH	Homo sapiens (Human)	510
22845	Q9UPQ8	DOLK_HUMAN	reviewed	Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15)	DOLK KIAA1094 TMEM15 UNQ2422/PRO4980	Homo sapiens (Human)	538
23175	Q14693	LPIN1_HUMAN	reviewed	Phosphatidate phosphatase LPIN1 (EC 3.1.3.4) (Lipin-1)	LPIN1 KIAA0188	Homo sapiens (Human)	890
23417	O95822	DCMC_HUMAN	reviewed	Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)	MLYCD	Homo sapiens (Human)	493
23474	O95571	ETHE1_HUMAN	reviewed	Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)	ETHE1 HSCO	Homo sapiens (Human)	254
2348	P15328	FOLR1_HUMAN	reviewed	Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)	FOLR1 FOLR	Homo sapiens (Human)	257
23556	O95427	PIGN_HUMAN	reviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	PIGN MCD4	Homo sapiens (Human)	931
2395	Q16595	FRDA_HUMAN	reviewed	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]	FXN FRDA X25	Homo sapiens (Human)	210
246243	O60930	RNH1_HUMAN	reviewed	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	RNASEH1 RNH1	Homo sapiens (Human)	286
249	P05186	PPBT_HUMAN	reviewed	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)	ALPL	Homo sapiens (Human)	524
2517	P04066	FUCO_HUMAN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	Homo sapiens (Human)	466
2538	P35575	G6PC_HUMAN	reviewed	Glucose-6-phosphatase (G-6-Pase) (G6Pase) (EC 3.1.3.9) (Glucose-6-phosphatase alpha) (G6Pase-alpha)	G6PC G6PT	Homo sapiens (Human)	357
2542	O43826	G6PT1_HUMAN	reviewed	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	SLC37A4 G6PT G6PT1 PRO0685 TRG19	Homo sapiens (Human)	429
2584	P51570	GALK1_HUMAN	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)	392
2593	Q14353	GAMT_HUMAN	reviewed	Guanidinoacetate N-methyltransferase (EC 2.1.1.2)	GAMT	Homo sapiens (Human)	236
25974	Q9Y4U1	MMAC_HUMAN	reviewed	Methylmalonic aciduria and homocystinuria type C protein (EC 1.16.1.-) (CblC) (Cyanocobalamin reductase (cyanide-eliminating))	MMACHC	Homo sapiens (Human)	282
2623	P15976	GATA1_HUMAN	reviewed	Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein)	GATA1 ERYF1 GF1	Homo sapiens (Human)	413
2628	P50440	GATM_HUMAN	reviewed	Glycine amidinotransferase, mitochondrial (EC 2.1.4.1) (L-arginine:glycine amidinotransferase) (Transamidinase)	GATM AGAT	Homo sapiens (Human)	423
2629	P04062	GLCM_HUMAN	reviewed	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.104) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	GBA GC GLUC	Homo sapiens (Human)	536
2632	Q04446	GLGB_HUMAN	reviewed	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)	GBE1	Homo sapiens (Human)	702
2639	Q92947	GCDH_HUMAN	reviewed	Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)	GCDH	Homo sapiens (Human)	438
2643	P30793	GCH1_HUMAN	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	Homo sapiens (Human)	250
2645	P35557	HXK4_HUMAN	reviewed	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)	GCK	Homo sapiens (Human)	465
26503	Q9NRA2	S17A5_HUMAN	reviewed	Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular H(+)/Aspartate-glutamate cotransporter)	SLC17A5	Homo sapiens (Human)	495
2678	P19440	GGT1_HUMAN	reviewed	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]	GGT1 GGT	Homo sapiens (Human)	569
270	P23109	AMPD1_HUMAN	reviewed	AMP deaminase 1 (EC 3.5.4.6) (AMP deaminase isoform M) (Myoadenylate deaminase)	AMPD1	Homo sapiens (Human)	780
27034	Q9UKU7	ACAD8_HUMAN	reviewed	Isobutyryl-CoA dehydrogenase, mitochondrial (IBDH) (EC 1.3.8.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)	ACAD8 ARC42 IBD	Homo sapiens (Human)	415
2710	P32189	GLPK_HUMAN	reviewed	Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)	GK	Homo sapiens (Human)	559
2717	P06280	AGAL_HUMAN	reviewed	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase)	GLA	Homo sapiens (Human)	429
2720	P16278	BGAL_HUMAN	reviewed	Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase) (Elastin receptor 1)	GLB1 ELNR1	Homo sapiens (Human)	677
27232	Q14749	GNMT_HUMAN	reviewed	Glycine N-methyltransferase (EC 2.1.1.20)	GNMT	Homo sapiens (Human)	295
27249	Q9H3L0	MMAD_HUMAN	reviewed	Methylmalonic aciduria and homocystinuria type D protein, mitochondrial (CblD)	MMADHC C2orf25 CL25022 HSPC161 My011	Homo sapiens (Human)	296
2746	P00367	DHE3_HUMAN	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	Homo sapiens (Human)	558
2752	P15104	GLNA_HUMAN	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225)	GLUL GLNS	Homo sapiens (Human)	373
2767	P29992	GNA11_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha)	GNA11 GA11	Homo sapiens (Human)	359
285362	Q8NBK3	SUMF1_HUMAN	reviewed	Formylglycine-generating enzyme (FGE) (EC 1.8.3.7) (C-alpha-formylglycine-generating enzyme 1) (Sulfatase-modifying factor 1)	SUMF1 PSEC0152 UNQ3037/PRO9852	Homo sapiens (Human)	374
291	P12235	ADT1_HUMAN	reviewed	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	SLC25A4 ANT1	Homo sapiens (Human)	298
2937	P48637	GSHB_HUMAN	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSS	Homo sapiens (Human)	474
29954	Q9UKY4	POMT2_HUMAN	reviewed	Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2)	POMT2	Homo sapiens (Human)	750
2998	P54840	GYS2_HUMAN	reviewed	Glycogen [starch] synthase, liver (EC 2.4.1.11)	GYS2	Homo sapiens (Human)	703
3028	Q99714	HCD2_HUMAN	reviewed	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2	Homo sapiens (Human)	261
3030	P40939	ECHA_HUMAN	reviewed	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	HADHA HADH	Homo sapiens (Human)	763
